feature,importance_mean,importance_std
收缩压,0.13097362246506675,0.0007098962768348684
心理健康问题,0.042115209296212444,0.0006631559526569357
关节炎,0.03423160215900454,0.0008722107466100452
糖尿病,0.024420651621908585,0.0007934842168784455
哮喘,0.01941464259617611,0.0001875055153960565
心血管疾病,0.01657428728023529,0.0004915897224640519
年度医疗费用,0.016386547949416363,0.00037527712927847305
舒张压,0.015097572303455454,0.00029284668287204464
慢性阻塞性肺病,0.009919702843297063,0.0002623117026227686
癌症病史,0.0066871780396668525,0.000419359306798121
BMI,0.006082888943634446,0.00024001641150799788
肾脏疾病,0.005248213314458394,0.00010533176908711596
肝脏疾病,0.003840498925999092,0.0002846868909226285
理赔总额,0.0006549421635937191,7.763699998343862e-05
理赔次数,0.0005950951866630083,7.475116070997112e-05
低密度脂蛋白,0.0005383004085409259,0.00010308038485235838
近3年住院天数,0.00041396024690898425,6.893433744015339e-05
高血压,0.0001638948671687901,6.477707125108754e-05
人员ID,4.0327829733777246e-05,1.800542700243479e-05
去年就诊次数,3.51099876631622e-05,5.4756170040367524e-05
近2年保单变更次数,2.7383223246713052e-05,8.11398680906352e-06
近3年住院次数,9.061075289129582e-06,1.2282586335299913e-05
实验室检查次数,4.110393896583631e-06,4.280444644907515e-06
平均理赔金额,3.5506997385859052e-06,6.381902601089819e-06
理疗次数,2.940259976824677e-07,1.914615830534958e-07
保单期限年数,2.0298241460992016e-07,1.7002024372508104e-06
影像检查次数,0.0,0.0
手术次数,0.0,0.0
共付额,-8.178997296770519e-07,4.767821277866044e-06
免赔额,-2.0850473034572658e-06,1.0027678663928146e-05
糖化血红蛋白,-3.341747252894045e-06,2.0100668366492096e-05
是否做过重大手术,-7.601392925060679e-06,4.1208455751903015e-06
医疗服务质量评分,-1.0344640558357377e-05,1.0982688019359658e-05
用药种数,-1.7643052379101575e-05,2.2410809583229256e-05
抚养人数,-2.6913080154011837e-05,7.276034923067436e-06
收入,-3.064138950543693e-05,6.2788290190118375e-06
月度保费,-3.432940087746417e-05,1.3849595237018221e-05
专科会诊次数,-4.03024569319177e-05,1.1695570069743175e-05
年度保费,-4.3929275076104445e-05,1.7689748081293674e-05
家庭规模,-5.387093584059421e-05,4.037770058263039e-05
