feature,importance_mean,importance_std
收缩压,0.12046527608977382,9.900853373046282e-05
心理健康问题,0.04473914197048867,0.0011572812352076188
关节炎,0.03750215677440479,0.0013260544677183195
糖尿病,0.02248123011345049,0.0006422570553633945
哮喘,0.02051855823738169,0.00039104113726177146
舒张压,0.017662584664684584,0.0011654070032933853
心血管疾病,0.01606122446756127,0.0010166284432407606
年度医疗费用,0.011015074799430794,0.0010179241910886208
BMI,0.00952705098279242,0.0007476695183919155
慢性阻塞性肺病,0.008286371703073966,0.0008128197592409858
癌症病史,0.006044702529130215,0.00010420786746602574
肾脏疾病,0.0044655623408294725,0.00035965113920666513
肝脏疾病,0.0028672699384726017,0.0002245631300896525
理赔总额,0.0020604112439093214,0.0004205264627115887
平均理赔金额,0.0017736154397122543,0.0002744276821387886
家庭规模,0.0014289615996388265,0.00020683206982524894
免赔额,0.001403157718425437,0.0001345007183789589
低密度脂蛋白,0.0013511772332699772,0.0013048164093316806
抚养人数,0.0012749697707532166,0.0001995583315991079
糖化血红蛋白,0.0012055860012683366,0.000781700718918406
月度保费,0.0010610269245150405,0.0007924342942544228
高血压,0.0009921879036336827,0.0003827518714558262
医疗服务质量评分,0.0008983764599334032,0.00023285892174742845
保单期限年数,0.0008953660071251793,0.00015854251448764117
年度保费,0.000883926286453988,0.0003983439214650272
近3年住院天数,0.000681480502845296,0.0001728162525380358
用药种数,0.0006702128080488349,0.000503458892837508
近3年住院次数,0.0006358649750560034,0.0002340591550848094
理疗次数,0.0006257154484454001,0.0004977644925080904
手术次数,0.00048451087624993655,0.0004973970185640877
实验室检查次数,0.00047768718321794523,0.0003940297525278604
专科会诊次数,0.00037432830346880347,0.00019774746560983464
影像检查次数,0.00032051287564938136,0.0003963653373732683
共付额,0.0003022494619460507,8.27232825571391e-05
是否做过重大手术,3.968063511046912e-05,0.00040631396282329277
近2年保单变更次数,1.6428471039183396e-05,0.00018652477459895345
收入,-0.00016210571597826315,0.000254621621027776
理赔次数,-0.00019441790945325574,0.0003760198792136314
去年就诊次数,-0.0002068611143939044,0.0003048682994380996
人员ID,-0.00030310959131985005,0.00043507247146908973
