feature,importance_mean,importance_std
收缩压,0.12263062209423578,0.000505073904035232
心理健康问题,0.03812544068452348,0.0007937999102325967
关节炎,0.035345337564083715,0.0008687921474704046
糖尿病,0.023259419078060374,0.0007239163151861837
哮喘,0.018995685399824103,0.0002802932279330479
心血管疾病,0.016272697948823866,0.00032425782045031234
舒张压,0.01601024094042458,0.00035739924656726145
BMI,0.01239135105065332,0.0006786153441698526
慢性阻塞性肺病,0.009150356208764898,0.0003949039848760975
年度保费,0.008165851199740958,0.000572108219653546
癌症病史,0.006043537966771107,0.0004096911898809303
肾脏疾病,0.005449424856790652,0.00014643850860110674
肝脏疾病,0.003720599750946496,0.0003174172221772417
糖化血红蛋白,0.0015303060655413204,0.0002688243288432819
年度医疗费用,0.0011394559635471203,0.0001204275925103252
手术次数,0.0008412628562866287,0.00016427389932766634
月度保费,0.0007562147170668609,0.0001493670028148195
理赔总额,0.0006590428561249028,0.00015240783264064856
低密度脂蛋白,0.0005050127850562136,5.260462352165969e-05
近3年住院次数,0.00021669865281461753,7.303981292781189e-05
免赔额,0.00020203317335620863,5.628231430204366e-05
人员ID,0.00019179599407632698,9.514119734708987e-05
近3年住院天数,0.0001894900541451916,6.768868855532068e-05
平均理赔金额,0.00018070658715843013,3.596428793323231e-05
影像检查次数,0.0001552852785003278,6.195191649535457e-05
是否做过重大手术,0.00014411900691801982,5.144710863464822e-05
收入,0.000113176875085097,4.6668733808018806e-05
理疗次数,0.00011291195318356984,5.197628635519959e-05
抚养人数,0.00010205164774101938,1.0383082323608178e-05
家庭规模,9.648306399798746e-05,0.00013751907627655398
医疗服务质量评分,8.466978596901597e-05,5.1129645476433314e-05
用药种数,8.027954499345569e-05,8.84103963772883e-05
实验室检查次数,6.577674997028104e-05,5.5668093633729625e-05
理赔次数,6.425065056601121e-05,4.073050090509303e-05
去年就诊次数,5.115604604457591e-05,4.1682952111954184e-05
专科会诊次数,3.997186424926635e-05,3.560462923610989e-05
近2年保单变更次数,3.9806194778502224e-05,7.158300762679989e-05
保单期限年数,3.3603290989714377e-05,4.888239071589546e-05
高血压,3.1596600868333266e-05,3.987194446789005e-05
共付额,1.5170696718214138e-05,3.70406865667648e-05
